Name,NetWorth,Country,Source,Rank,Age,Industry
Li Ka-shing,$33.7 B,Hong Kong,diversified,43,92,Diversified
Lee Shau Kee,$31.7 B,Hong Kong,real estate,47,93,Real Estate
Robin Zeng,$28.4 B,Hong Kong,batteries,52,52,Energy
Xu Hang,$19.5 B,Hong Kong,medical devices,92,54,Healthcare
Lui Che Woo & family,$19.4 B,Hong Kong,casinos/hotels,93,92,Gambling & Casinos
Peter Woo,$18 B,Hong Kong,real estate,104,74,Real Estate
Lee Man Tat,$17.4 B,Hong Kong,food,111,91,Food & Beverage
Zhou Qunfei & family,$15.4 B,Hong Kong,smartphone screens,131,51,Technology
Kwong Siu-hing,$14.7 B,Hong Kong,real estate,138,91,Real Estate
Gong Hongjia & family,$14.4 B,Hong Kong,video surveillance,144,56,Finance & Investments
Joseph Lau,$13.6 B,Hong Kong,real estate,155,69,Real Estate
Hui Wing Mau,$10.3 B,Hong Kong,real estate,219,70,Real Estate
Yeung Kin-man,$9.5 B,Hong Kong,electronics,245,57,Manufacturing
Lam Wai-ying,$9.1 B,Hong Kong,smartphone screens,256,N/A,Manufacturing
Chan Tan Ching-fen,$8.8 B,Hong Kong,real estate,269,N/A,Real Estate
Ruan Liping,$7.5 B,Hong Kong,power strips,334,57,Manufacturing
Ruan Xueping,$7.5 B,Hong Kong,power strip,334,49,Manufacturing
Michael Kadoorie,$7.2 B,Hong Kong,"hotels, energy",352,79,Energy
Li Jianquan & family,$6.8 B,Hong Kong,consumer products,384,64,Healthcare
Francis Choi,$6.6 B,Hong Kong,real estate,400,73,Real Estate
Law Kar Po,$6.1 B,Hong Kong,real estate,440,72,Real Estate
Li Wa,$6.1 B,Hong Kong,real estate,440,55,Real Estate
Li Ping,$5.8 B,Hong Kong,batteries,476,53,Automotive
Wong Man Li,$5.2 B,Hong Kong,furniture,539,56,Manufacturing
Patrick Lee,$5.1 B,Hong Kong,paper,550,79,Manufacturing
Huang Yi,$4.8 B,Hong Kong,car dealerships,589,59,Automotive
Tang Shing-bor,$4.7 B,Hong Kong,real estate,608,87,Real Estate
Richard Li,$4.5 B,Hong Kong,telecom,638,54,Telecom
Pansy Ho,$4.3 B,Hong Kong,casinos,665,58,Gambling & Casinos
Edwin Leong,$4.3 B,Hong Kong,real estate,665,69,Real Estate
Ye Chenghai & family,$4.3 B,Hong Kong,pharmaceuticals,665,77,Healthcare
Martin Lau,$4.2 B,Hong Kong,e-commerce,680,48,Technology
Cho Tak Wong,$4.1 B,Hong Kong,auto parts,705,74,Manufacturing
Wu Jianshu,$4 B,Hong Kong,auto parts,727,57,Automotive
Chu Lam Yiu,$3.6 B,Hong Kong,flavorings,831,51,Manufacturing
Samuel Tak Lee,$3.6 B,Hong Kong,real estate,831,81,Real Estate
Angela Leong,$3.4 B,Hong Kong,casinos,891,60,Real Estate
Tung Chee Chen,$3.4 B,Hong Kong,shipping,891,78,Logistics
Ronald McAulay,$3.2 B,Hong Kong,energy,956,85,Energy
Rita Tong Liu,$3.2 B,Hong Kong,real estate,956,72,Real Estate
Geoffrey Kwok,$3 B,Hong Kong,real estate,1008,35,Real Estate
Or Wai Sheun,$3 B,Hong Kong,real estate,1008,69,Real Estate
Li Sze Lim,$2.8 B,Hong Kong,real estate,1111,64,Real Estate
Lv Jianming,$2.8 B,Hong Kong,medical equipment,1111,56,Healthcare
Adam Kwok,$2.6 B,Hong Kong,real estate,1205,38,Real Estate
Tung Chee Hwa,$2.6 B,Hong Kong,shipping,1205,83,Logistics
Lawrence Ho,$2.4 B,Hong Kong,casinos,1299,44,Gambling & Casinos
Jonathan Kwok,$2.4 B,Hong Kong,Real Estate,1299,29,Real Estate
Michael Ying,$2.4 B,Hong Kong,retail,1299,71,Fashion & Retail
Fong Yun Wah,$2.3 B,Hong Kong,real estate,1362,96,Real Estate
Thomas Kwok,$2.2 B,Hong Kong,real estate,1444,69,Real Estate
Tang Yiu,$2.2 B,Hong Kong,fashion retail,1444,87,Fashion & Retail
Huang Shih Tsai,$2.1 B,Hong Kong,real estate,1517,69,Real Estate
Huang Jiangji,$1.9 B,Hong Kong,smartphones,1664,N/A,Technology
Christopher Kwok,$1.9 B,Hong Kong,real estate,1664,35,Real Estate
Edward Kwok,$1.9 B,Hong Kong,real estate,1664,40,Real Estate
Lin Dingqiang & family,$1.9 B,Hong Kong,real estate,1664,54,Real Estate
Gordon Wu,$1.9 B,Hong Kong,real estate,1664,85,Real Estate
Vincent Lo,$1.8 B,Hong Kong,real estate,1750,72,Real Estate
Wu Kaiting,$1.8 B,Hong Kong,electronics,1750,51,Telecom
Daniel Chiu,$1.7 B,Hong Kong,oil & gas,1833,60,Energy
Huang Zhengcong,$1.6 B,Hong Kong,electronics,1931,54,Technology
Yu Peidi,$1.6 B,Hong Kong,real estate,1931,61,Real Estate
Raymond Kwok,$1.5 B,Hong Kong,real estate,2035,67,Real Estate
Zhuo Jun,$1.4 B,Hong Kong,printed circuit boards,2141,55,Manufacturing
Vivien Chen,$1.3 B,Hong Kong,real estate,2263,62,Real Estate
Huang Dawen,$1.3 B,Hong Kong,silicon,2263,60,Manufacturing
Henry Cheng,$1.2 B,Hong Kong,diversified,2378,74,Diversified
Allan Wong,$1.2 B,Hong Kong,electronics,2378,71,Manufacturing
Cheng Antares,$1.1 B,Hong Kong,liquor,2524,63,Food & Beverage
Ina Chan,$1 B,Hong Kong,casinos,2674,67,Gambling & Casinos
